,GDPpc,Region,IncomeGroup,Population,location,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
146,48995.142001902306,Europe & Central Asia,High,33860.0,San Marino,SMR,44515.0,22347.0,22347.0,84.0,18.0,131.17,65.85,65.85,530.0
147,126.924920542559,Sub-Saharan Africa,Low,15442905.0,Somalia,SOM,208415.0,138603.0,69812.0,4239.0,4307.0,1.31,0.87,0.44,271.0
148,7411.55864879005,Europe & Central Asia,Upper middle,6945235.0,Serbia,SRB,5146241.0,2693998.0,2452243.0,52270.0,23928.0,75.63,39.59,36.04,3516.0
149,1119.6513326782301,Sub-Saharan Africa,Low,11062113.0,South Sudan,SSD,44920.0,42166.0,2754.0,150135.0,2089.0,0.4,0.38,0.02,187.0
150,1946.6436137008602,Sub-Saharan Africa,Lower middle,215056.0,Sao Tome and Principe,STP,27986.0,16453.0,11533.0,84.0,482.0,12.77,7.51,5.26,2199.0
151,6359.833614427371,Latin America & Caribbean,Upper middle,581363.0,Suriname,SUR,196194.0,160268.0,35926.0,1012.0,1980.0,33.44,27.32,6.12,3375.0
152,25940.728030936,Europe & Central Asia,High,2088385.0,Slovenia,SVN,1492126.0,821331.0,670795.0,12965.0,8586.0,71.77,39.51,32.27,4130.0
153,51647.9915583251,Europe & Central Asia,High,10278887.0,Sweden,SWE,7789784.0,4749296.0,3040488.0,58594.0,98650.0,77.13,47.03,30.11,9768.0
154,3894.67980685427,Sub-Saharan Africa,Lower middle,1148130.0,Eswatini,SWZ,47623.0,37231.0,10392.0,827.0,601.0,4.1,3.21,0.9,518.0
155,29160.1038110689,Latin America & Caribbean,High,40733.0,Sint Maarten (Dutch part),SXM,38290.0,21130.0,17160.0,37092.0,297.0,89.29,49.27,40.02,6926.0
156,17448.2702926831,Sub-Saharan Africa,High,97625.0,Seychelles,SYC,137976.0,70671.0,67305.0,1301.0,51.0,140.31,71.86,68.44,519.0
157,31353.3293184258,Latin America & Caribbean,High,38191.0,Turks and Caicos Islands,TCA,38110.0,22700.0,15410.0,1206697.0,92.0,98.43,58.63,39.8,2376.0
158,709.5403101385331,Sub-Saharan Africa,Low,15946876.0,Chad,TCD,9799.0,9799.0,44793.0,12887.0,197.0,0.06,0.06,68.16,12.0
159,679.290249091295,Sub-Saharan Africa,Low,8082366.0,Togo,TGO,347246.0,270784.0,76462.0,255734.0,4684.0,4.19,3.27,0.92,566.0
160,7806.74221105532,East Asia & Pacific,Upper middle,69625582.0,Thailand,THA,9672706.0,6910169.0,2762537.0,255734.0,217767.0,13.86,9.9,3.96,3120.0
161,870.787589323223,Europe & Central Asia,Low,9321018.0,Tajikistan,TJK,132075.0,116341.0,15734.0,40541.0,4195.0,1.38,1.22,0.16,440.0
162,6966.63541063077,Europe & Central Asia,Upper middle,5942089.0,Turkmenistan,TKM,41993.0,32240.0,9753.0,1206697.0,808139.0,0.7,0.53,0.16,9582.0
163,4903.15290276599,East Asia & Pacific,Upper middle,104494.0,Tonga,TON,29980.0,28667.0,1349.0,255734.0,573.0,28.36,27.12,1.28,5421.0
164,17397.9817601543,Latin America & Caribbean,High,1394973.0,Trinidad and Tobago,TTO,302548.0,213632.0,88916.0,9745.0,9593.0,21.62,15.26,6.35,6855.0
165,3317.4535932122,Middle East & North Africa,Lower middle,11694719.0,Tunisia,TUN,1821431.0,1272434.0,548997.0,28007.0,26411.0,15.41,10.77,4.65,2235.0
166,9126.561345850141,Europe & Central Asia,Upper middle,83429615.0,Turkey,TUR,50608142.0,35091645.0,15217656.0,1206697.0,808139.0,60.01,41.61,18.04,9582.0
167,4059.0299956944395,East Asia & Pacific,Upper middle,11646.0,Tuvalu,TUV,4772.0,4772.0,15410.0,1206697.0,169.0,40.47,40.47,39.8,14332.0
168,794.3410779171021,Sub-Saharan Africa,Low,44269594.0,Uganda,UGA,856025.0,856025.0,4129.0,1582.0,2582.0,1.87,1.87,0.01,56.0
169,3659.0313122948705,Europe & Central Asia,Lower middle,44386203.0,Ukraine,UKR,2583468.0,1933944.0,649524.0,81637.0,62032.0,5.91,4.42,1.49,1418.0
170,9013.749963600709,,,2855841764.0,Upper middle income,OWID_UMC,1649518303.0,899022730.0,354496100.0,25999243.0,27195067.0,62.13,33.86,13.35,10244.0
171,16190.126957465,Latin America & Caribbean,High,3461734.0,Uruguay,URY,3936953.0,2267229.0,1669724.0,52303.0,36588.0,113.34,65.27,48.07,10533.0
172,65297.517508274,North America,High,328239523.0,United States,USA,326521526.0,180674739.0,154884686.0,1368679.0,949925.0,97.63,54.02,46.31,2840.0
173,1724.85654379271,Europe & Central Asia,Lower middle,33580350.0,Uzbekistan,UZB,3541442.0,2074701.0,1199541.0,78652.0,60456.0,10.58,6.2,3.58,1806.0
174,,Latin America & Caribbean,High,30030.0,British Virgin Islands,VGB,21403.0,12562.0,8841.0,2649319.0,161.0,70.78,41.55,29.24,5325.0
175,2715.27603640721,East Asia & Pacific,Lower middle,96462106.0,Vietnam,VNM,3776980.0,3583939.0,193041.0,183010.0,164378.0,3.88,3.68,0.2,1689.0
176,3115.3586204326098,East Asia & Pacific,Lower middle,299882.0,Vanuatu,VUT,7462.0,7462.0,1199541.0,78652.0,419.0,2.43,2.43,3.58,1364.0
177,11433.215721203602,,,7673656872.0,World,OWID_WRL,3086573119.0,1833546345.0,854150948.0,36001283.0,40910930.0,39.6,23.52,10.96,5248.0
178,4324.01401840457,East Asia & Pacific,Upper middle,197097.0,Samoa,WSM,54663.0,49546.0,5117.0,524.0,1186.0,27.55,24.97,2.58,5978.0
179,4430.78494654972,Europe & Central Asia,Upper middle,1788878.0,Kosovo,OWID_KOS,179029.0,137456.0,41573.0,1800.0,4516.0,9.26,7.11,2.15,2337.0
180,6001.4011214068005,Sub-Saharan Africa,Upper middle,58558267.0,South Africa,ZAF,3026636.0,3026636.0,479772.0,125970.0,83341.0,5.1,5.1,0.81,1405.0
181,1305.0632535054401,Sub-Saharan Africa,Lower middle,17861030.0,Zambia,ZMB,153106.0,142125.0,10981.0,729.0,608.0,0.83,0.77,0.06,33.0
182,1463.9859101805403,Sub-Saharan Africa,Lower middle,14645468.0,Zimbabwe,ZWE,1332438.0,777161.0,555277.0,16841.0,23656.0,8.96,5.23,3.74,1592.0
